opened_at,status,event_slug,event_title,market_slug,question,group_item_title,side,stake_usdc,price,fee_per_share,shares,fair_probability,net_edge,expected_payout_usdc,expected_pnl_usdc,prediction_c,interval_lower,interval_upper,interval_unit,end_date,market_has_ended,actual_value,actual_status,won,payout_usdc,pnl_usdc,roi_pct,trade_id
2026-05-04T16:47:17+00:00,open,highest-temperature-in-chongqing-on-may-5-2026,Highest temperature in Chongqing on May 5?,highest-temperature-in-chongqing-on-may-5-2026-29c,Will the highest temperature in Chongqing be 29°C on May 5?,29°C,BUY_YES,5.0,0.08,0.00368,59.751434,0.35721,0.27353,21.3438,16.3438,28.611152817158896,28.5,29.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,a05c85d1d9423638
2026-05-04T16:47:17+00:00,open,highest-temperature-in-cape-town-on-may-5-2026,Highest temperature in Cape Town on May 5?,highest-temperature-in-cape-town-on-may-5-2026-16c,Will the highest temperature in Cape Town be 16°C on May 5?,16°C,BUY_YES,5.0,0.1,0.0045,47.84689,0.376816,0.272316,18.0295,13.0295,16.18704046534468,15.5,16.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,df02e28f76964ac8
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-nyc-on-may-5-2026,Lowest temperature in NYC on May 5?,lowest-temperature-in-nyc-on-may-5-2026-58-59f,Will the lowest temperature in New York City be between 58-59°F on May 5?,58-59°F,BUY_NO,5.0,0.72,0.01008,6.848565,0.997204,0.267124,6.8294,1.8294,11.679789177893573,58.0,60.0,fahrenheit,2026-05-05T12:00:00Z,0,,pending,,,,,36ca90561c968b23
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-london-on-may-6-2026,Lowest temperature in London on May 6?,lowest-temperature-in-london-on-may-6-2026-9c,Will the lowest temperature in London be 9°C on May 6?,9°C,BUY_NO,5.0,0.72,0.01008,6.848565,0.995024,0.264944,6.8145,1.8145,5.934924057239985,8.5,9.5,celsius,2026-05-06T12:00:00Z,0,,pending,,,,,1d7647214ad66087
2026-05-04T16:47:17+00:00,open,highest-temperature-in-wellington-on-may-5-2026,Highest temperature in Wellington on May 5?,highest-temperature-in-wellington-on-may-5-2026-16c,Will the highest temperature in Wellington be 16°C on May 5?,16°C,BUY_NO,5.0,0.46,0.01242,10.583803,0.736814,0.264394,7.7983,2.7983,15.097094710466243,15.5,16.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,4c3f672e79fe17d3
2026-05-04T16:47:17+00:00,open,highest-temperature-in-wuhan-on-may-5-2026,Highest temperature in Wuhan on May 5?,highest-temperature-in-wuhan-on-may-5-2026-29c,Will the highest temperature in Wuhan be 29°C on May 5?,29°C,BUY_NO,5.0,0.61,0.011895,8.039942,0.885447,0.263552,7.1189,2.1189,27.381162039825547,28.5,29.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,cde3cb1c3cc6e6d2
2026-05-04T16:47:17+00:00,open,highest-temperature-in-busan-on-may-5-2026,Highest temperature in Busan on May 5?,highest-temperature-in-busan-on-may-5-2026-21c,Will the highest temperature in Busan be 21°C on May 5?,21°C,BUY_NO,5.0,0.64,0.01152,7.674361,0.912883,0.261363,7.0058,2.0058,19.20724757496647,20.5,21.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,227935ae640107e9
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-tokyo-on-may-5-2026,Lowest temperature in Tokyo on May 5?,lowest-temperature-in-tokyo-on-may-5-2026-11c,Will the lowest temperature in Tokyo be 11°C on May 5?,11°C,BUY_YES,5.0,0.039,0.001874,122.327152,0.293892,0.253018,35.951,30.951,11.758565114341337,10.5,11.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,0dc668db573c8089
2026-05-04T16:47:17+00:00,open,highest-temperature-in-shanghai-on-may-5-2026,Highest temperature in Shanghai on May 5?,highest-temperature-in-shanghai-on-may-5-2026-26c,Will the highest temperature in Shanghai be 26°C on May 5?,26°C,BUY_NO,5.0,0.73,0.009855,6.758081,0.991571,0.251716,6.7011,1.7011,23.126048663334064,25.5,26.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,0630fa101519e75a
2026-05-04T16:47:17+00:00,open,highest-temperature-in-tokyo-on-may-5-2026,Highest temperature in Tokyo on May 5?,highest-temperature-in-tokyo-on-may-5-2026-21c,Will the highest temperature in Tokyo be 21°C on May 5?,21°C,BUY_NO,5.0,0.66,0.01122,7.449122,0.922831,0.251611,6.8743,1.8743,19.135431870510757,20.5,21.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,f172b4f2ef2847c3
2026-05-04T16:47:17+00:00,open,highest-temperature-in-los-angeles-on-may-5-2026,Highest temperature in Los Angeles on May 5?,highest-temperature-in-los-angeles-on-may-5-2026-66-67f,Will the highest temperature in Los Angeles be between 66-67°F on May 5?,66-67°F,BUY_NO,5.0,0.62,0.01178,7.914147,0.882787,0.251007,6.9865,1.9865,17.761602404525195,66.0,68.0,fahrenheit,2026-05-05T12:00:00Z,0,,pending,,,,,f28dd746ea3cb2b3
2026-05-04T16:47:17+00:00,open,highest-temperature-in-sao-paulo-on-may-5-2026,Highest temperature in Sao Paulo on May 5?,highest-temperature-in-sao-paulo-on-may-5-2026-29c,Will the highest temperature in Sao Paulo be 29°C on May 5?,29°C,BUY_NO,5.0,0.71,0.010295,6.9416,0.971021,0.250726,6.7404,1.7404,26.63457997791942,28.5,29.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,f66f4f925187c7fb
2026-05-04T16:47:17+00:00,open,highest-temperature-in-cape-town-on-may-5-2026,Highest temperature in Cape Town on May 5?,highest-temperature-in-cape-town-on-may-5-2026-19corhigher,Will the highest temperature in Cape Town be 19°C or higher on May 5?,19°C or higher,BUY_NO,5.0,0.73,0.009855,6.758081,0.989638,0.249783,6.6881,1.6881,16.18704046534468,18.5,,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,acd032b2528fdffe
2026-05-04T16:47:17+00:00,open,highest-temperature-in-nyc-on-may-5-2026,Highest temperature in NYC on May 5?,highest-temperature-in-nyc-on-may-5-2026-78-79f,Will the highest temperature in New York City be between 78-79°F on May 5?,78-79°F,BUY_NO,5.0,0.66,0.01122,7.449122,0.918392,0.247172,6.8412,1.8412,28.01648921391822,78.0,80.0,fahrenheit,2026-05-05T12:00:00Z,0,,pending,,,,,f900a33a16d402a7
2026-05-04T16:47:17+00:00,open,highest-temperature-in-toronto-on-may-5-2026,Highest temperature in Toronto on May 5?,highest-temperature-in-toronto-on-may-5-2026-14c,Will the highest temperature in Toronto be 14°C on May 5?,14°C,BUY_YES,5.0,0.059,0.002776,80.937581,0.30668,0.244904,24.8219,19.8219,14.694859945339182,13.5,14.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,7c048ac06d447582
2026-05-04T16:47:17+00:00,open,highest-temperature-in-shenzhen-on-may-5-2026,Highest temperature in Shenzhen on May 5?,highest-temperature-in-shenzhen-on-may-5-2026-24c,Will the highest temperature in Shenzhen be 24°C on May 5?,24°C,BUY_NO,5.0,0.73,0.009855,6.758081,0.98403,0.244175,6.6502,1.6502,26.6233162687414,23.5,24.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,c7f2c08b47d3f41c
2026-05-04T16:47:17+00:00,open,highest-temperature-in-tokyo-on-may-5-2026,Highest temperature in Tokyo on May 5?,highest-temperature-in-tokyo-on-may-5-2026-22c,Will the highest temperature in Tokyo be 22°C on May 5?,22°C,BUY_NO,5.0,0.74,0.00962,6.670046,0.991358,0.241738,6.6124,1.6124,19.135431870510757,21.5,22.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,5ca1f1650f2a31f5
2026-05-04T16:47:17+00:00,open,highest-temperature-in-miami-on-may-5-2026,Highest temperature in Miami on May 5?,highest-temperature-in-miami-on-may-5-2026-84-85f,Will the highest temperature in Miami be between 84-85°F on May 5?,84-85°F,BUY_NO,5.0,0.64,0.01152,7.674361,0.889478,0.237958,6.8262,1.8262,27.723492866429737,84.0,86.0,fahrenheit,2026-05-05T12:00:00Z,0,,pending,,,,,4a546a16c2c38ef3
2026-05-04T16:47:17+00:00,open,highest-temperature-in-tokyo-on-may-5-2026,Highest temperature in Tokyo on May 5?,highest-temperature-in-tokyo-on-may-5-2026-20c,Will the highest temperature in Tokyo be 20°C on May 5?,20°C,BUY_YES,5.0,0.035,0.001689,136.280629,0.271522,0.234834,37.0032,32.0032,19.135431870510757,19.5,20.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,857acc418b58bea0
2026-05-04T16:47:17+00:00,open,highest-temperature-in-shenzhen-on-may-5-2026,Highest temperature in Shenzhen on May 5?,highest-temperature-in-shenzhen-on-may-5-2026-25c,Will the highest temperature in Shenzhen be 25°C on May 5?,25°C,BUY_NO,5.0,0.64,0.01152,7.674361,0.886212,0.234692,6.8011,1.8011,26.6233162687414,24.5,25.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,7b6041d6f249a8c9
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-hong-kong-on-may-5-2026,Lowest temperature in Hong Kong on May 5?,lowest-temperature-in-hong-kong-on-may-5-2026-18c,Will the lowest temperature in Hong Kong be 18°C on May 5?,18°C,BUY_YES,5.0,0.01,0.000495,476.417342,0.243006,0.232511,115.7723,110.7723,18.99426475449078,17.5,18.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,6aba2dee84be7785
2026-05-04T16:47:17+00:00,open,highest-temperature-in-guangzhou-on-may-5-2026,Highest temperature in Guangzhou on May 5?,highest-temperature-in-guangzhou-on-may-5-2026-26corhigher,Will the highest temperature in Guangzhou be 26°C or higher on May 5?,26°C or higher,BUY_YES,5.0,0.62,0.01178,7.914147,0.86353,0.23175,6.8341,1.8341,26.59631569169355,25.5,,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,1a7fef464c5737a7
2026-05-04T16:47:17+00:00,open,highest-temperature-in-amsterdam-on-may-5-2026,Highest temperature in Amsterdam on May 5?,highest-temperature-in-amsterdam-on-may-5-2026-16c,Will the highest temperature in Amsterdam be 16°C on May 5?,16°C,BUY_NO,5.0,0.52,0.01248,9.390024,0.76409,0.23161,7.1748,2.1748,17.026129041990686,15.5,16.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,ac4fa23670c49db0
2026-05-04T16:47:17+00:00,open,lowest-temperature-in-shanghai-on-may-6-2026,Lowest temperature in Shanghai on May 6?,lowest-temperature-in-shanghai-on-may-6-2026-16c,Will the lowest temperature in Shanghai be 16°C on May 6?,16°C,BUY_NO,5.0,0.67,0.011055,7.341551,0.911947,0.230892,6.6951,1.6951,14.21371165765098,15.5,16.5,celsius,2026-05-06T12:00:00Z,0,,pending,,,,,fd1ffa89b034f8fb
2026-05-04T16:47:17+00:00,open,highest-temperature-in-wellington-on-may-5-2026,Highest temperature in Wellington on May 5?,highest-temperature-in-wellington-on-may-5-2026-17c,Will the highest temperature in Wellington be 17°C on May 5?,17°C,BUY_NO,5.0,0.69,0.010695,7.135772,0.92781,0.227115,6.6206,1.6206,15.097094710466243,16.5,17.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,ef38ab6508b3ebcc
2026-05-04T16:47:17+00:00,open,highest-temperature-in-lagos-on-may-5-2026,Highest temperature in Lagos on May 5?,highest-temperature-in-lagos-on-may-5-2026-33c,Will the highest temperature in Lagos be 33°C on May 5?,33°C,BUY_NO,5.0,0.75,0.009375,6.584362,0.98621,0.226835,6.4936,1.4936,30.31702523824956,32.5,33.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,d45735346ec877d3
2026-05-04T16:47:17+00:00,open,highest-temperature-in-wellington-on-may-5-2026,Highest temperature in Wellington on May 5?,highest-temperature-in-wellington-on-may-5-2026-15c,Will the highest temperature in Wellington be 15°C on May 5?,15°C,BUY_YES,5.0,0.15,0.006375,31.97442,0.381269,0.224894,12.1909,7.1909,15.097094710466243,14.5,15.5,celsius,2026-05-05T12:00:00Z,0,,pending,,,,,6db12f0d759a8299
